no reentry,reentry,more than 2 (condition on reentry)
0.434599156,0.565400844,0.119402985
0.446351931,0.553648069,0.100775194
0.37254902,0.62745098,0.10625
0.4,0.6,0.126666667
0.392070485,0.607929515,0.137681159
0.462962963,0.537037037,0.181034483
0.470046083,0.529953917,0.147826087
0.387387387,0.612612613,0.058823529
0.44813278,0.55186722,0.142857143
0.369158879,0.630841121,0.140740741
0.490196078,0.509803922,0.105769231
0.422535211,0.577464789,0.12195122
0.49009901,0.50990099,0.165048544
0.465020576,0.534979424,0.107692308
0.435897436,0.564102564,0.136363636
0.479674797,0.520325203,0.1171875
0.485981308,0.514018692,0.090909091
0.483333333,0.516666667,0.139784946
0.419811321,0.580188679,0.138211382
0.448453608,0.551546392,0.158878505
0.461139896,0.538860104,0.153846154
0.510309278,0.489690722,0.178947368
0.446808511,0.553191489,0.153846154
0.48,0.52,0.102564103
0.463541667,0.536458333,0.155339806
0.427860697,0.572139303,0.113043478
0.420289855,0.579710145,0.183333333
0.491620112,0.508379888,0.186813187
0.46875,0.53125,0.107843137
0.455399061,0.544600939,0.060344828
0.443850267,0.556149733,0.163461538
0.480519481,0.519480519,0.125
0.483091787,0.516908213,0.177570093
0.455497382,0.544502618,0.067307692
0.436170213,0.563829787,0.169811321
0.489795918,0.510204082,0.14
0.479820628,0.520179372,0.068965517
0.464454976,0.535545024,0.123893805
0.497326203,0.502673797,0.170212766
0.457286432,0.542713568,0.148148148
0.490825688,0.509174312,0.099099099
0.529953917,0.470046083,0.12745098
0.45,0.55,0.148760331
0.469026549,0.530973451,0.175
0.469298246,0.530701754,0.165289256
0.502183406,0.497816594,0.157894737
0.423076923,0.576923077,0.125
0.514150943,0.485849057,0.13592233
0.49,0.51,0.088235294
0.524229075,0.475770925,0.12962963
0.50209205,0.49790795,0.12605042
0.488986784,0.511013216,0.129310345
0.497461929,0.502538071,0.141414141
0.54028436,0.45971564,0.113402062
0.41025641,0.58974359,0.165217391
0.461538462,0.538461538,0.142857143
0.472906404,0.527093596,0.121495327
0.485477178,0.514522822,0.120967742
0.495833333,0.504166667,0.173553719
0.497835498,0.502164502,0.155172414
0.515283843,0.484716157,0.153153153
0.453703704,0.546296296,0.110169492
0.466981132,0.533018868,0.159292035
0.536697248,0.463302752,0.128712871
0.452991453,0.547008547,0.1015625
0.509009009,0.490990991,0.137614679
0.481283422,0.518716578,0.195876289
0.538888889,0.461111111,0.180722892
0.458333333,0.541666667,0.153846154
0.46969697,0.53030303,0.104761905
0.481927711,0.518072289,0.139534884
0.42408377,0.57591623,0.163636364
0.485,0.515,0.077669903
0.469194313,0.530805687,0.151785714
0.495192308,0.504807692,0.20952381
0.466666667,0.533333333,0.214285714
0.510309278,0.489690722,0.178947368
0.481132075,0.518867925,0.172727273
0.463054187,0.536945813,0.119266055
0.502512563,0.497487437,0.171717172
0.536842105,0.463157895,0.102272727
0.552631579,0.447368421,0.176470588
0.497757848,0.502242152,0.178571429
0.557471264,0.442528736,0.090909091
0.497076023,0.502923977,0.174418605
0.473684211,0.526315789,0.142857143
0.575,0.425,0.176470588
0.32972973,0.67027027,0.161290323
0.368852459,0.631147541,0.142857143
0.335548173,0.664451827,0.09
0.391891892,0.608108108,0.116666667
0.393333333,0.606666667,0.10989011
0.390374332,0.609625668,0.135964912
0.464285714,0.535714286,0.112820513
0.401554404,0.598445596,0.147186147
0.326996198,0.673003802,0.081920904
0.364565588,0.635434412,0.067024129
0.336298932,0.663701068,0.101876676
0.330960854,0.669039146,0.071808511
0.386317907,0.613682093,0.098360656
0.326642336,0.673357664,0.086720867
0.361623616,0.638376384,0.098265896
0.368913858,0.631086142,0.086053412
0.396296296,0.603703704,0.085889571
0.335174954,0.664825046,0.049861496
0.346379648,0.653620352,0.047904192
0.307992203,0.692007797,0.109859155
0.343347639,0.656652361,0.107843137
0.351239669,0.648760331,0.085987261
0.332648871,0.667351129,0.138461538
0.356265356,0.643734644,0.095419847
0.283464567,0.716535433,0.10989011
0.325136612,0.674863388,0.12145749
0.275482094,0.724517906,0.064638783
0.370716511,0.629283489,0.128712871
0.358433735,0.641566265,0.093896714
0.317460317,0.682539683,0.079069767
0.284745763,0.715254237,0.09478673
0.275471698,0.724528302,0.104166667
0.241860465,0.758139535,0.171779141
0.293103448,0.706896552,0.134146341
0.325503356,0.674496644,0.104477612
0.313304721,0.686695279,0.125
0.32,0.68,0.105882353
0.295652174,0.704347826,0.135802469
0.301526718,0.698473282,0.103825137
0.306122449,0.693877551,0.070588235
0.366412214,0.633587786,0.06626506
0.37944664,0.62055336,0.101910828
0.345381526,0.654618474,0.134969325
